[2023-01-25 15:48:41] - [DEBUG] starting point: 0 | end point: 8706 | fps: 30 | frame: 8706 | cnt: 0
[2023-01-25 15:48:55] - [DEBUG] cnt: 2940 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:55] - [DEBUG] cnt: 2970 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:55] - [DEBUG] cnt: 3000 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:55] - [DEBUG] cnt: 3030 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:55] - [DEBUG] cnt: 3060 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:55] - [DEBUG] cnt: 3090 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:56] - [DEBUG] cnt: 3120 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:56] - [DEBUG] cnt: 3150 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:56] - [DEBUG] cnt: 3180 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:56] - [DEBUG] cnt: 3210 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:56] - [DEBUG] cnt: 3240 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:56] - [DEBUG] cnt: 3270 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:56] - [DEBUG] cnt: 3300 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:56] - [DEBUG] cnt: 3330 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:57] - [DEBUG] cnt: 3360 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:57] - [DEBUG] cnt: 3390 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:57] - [DEBUG] cnt: 3420 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:57] - [DEBUG] cnt: 3450 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:57] - [DEBUG] cnt: 3480 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
[2023-01-25 15:48:57] - [DEBUG] cnt: 3510 | sp: 0 | ep: 8706 | fps: 30 | frame: (1080, 1920, 3) | process start
